slug,marque,modele,année,prix_min,prix_max,prix_moy,confidence
abarth-500,Abarth,500,2026,34850,47150,41000,100
abarth-500,Abarth,500,2025,31875,43125,37500,100
abarth-500,Abarth,500,2024,29070,39330,34200,100
abarth-500,Abarth,500,2023,26775,36225,31500,100
abarth-500,Abarth,500,2022,22780,30820,26800,100
abarth-500,Abarth,500,2021,20825,28175,24500,100
abarth-500,Abarth,500,2020,19380,26220,22800,100
abarth-500,Abarth,500,2019,17850,24150,21000,100
abarth-500,Abarth,500,2018,16320,22080,19200,100
abarth-500,Abarth,500,2017,15130,20470,17800,100
abarth-500,Abarth,500,2016,13770,18630,16200,100
abarth-500,Abarth,500,2015,12580,17020,14800,100
abarth-500,Abarth,500,2014,11475,15525,13500,100
abarth-500,Abarth,500,2013,10455,14145,12300,100
abarth-500,Abarth,500,2012,9435,12765,11100,100
abarth-500,Abarth,500,2011,8670,11730,10200,100
abarth-500,Abarth,500,2010,7990,10810,9400,100
abarth-500,Abarth,500,2009,7395,10005,8700,100
abarth-500,Abarth,500,2008,6970,9430,8200,100
abarth-punto,Abarth,Punto,2015,14875,20125,17500,100
abarth-punto,Abarth,Punto,2014,13770,18630,16200,100
abarth-punto,Abarth,Punto,2013,12325,16675,14500,100
abarth-punto,Abarth,Punto,2012,10880,14720,12800,100
abarth-punto,Abarth,Punto,2011,9520,12880,11200,100
abarth-punto,Abarth,Punto,2010,8330,11270,9800,100
abarth-punto,Abarth,Punto,2009,7140,9660,8400,100
abarth-punto,Abarth,Punto,2008,6630,8970,7800,100
peugeot-208,Peugeot,208,2026,23800,32200,28000,100
peugeot-208,Peugeot,208,2025,21675,29325,25500,100
peugeot-208,Peugeot,208,2024,18700,25300,22000,100
peugeot-208,Peugeot,208,2023,16575,22425,19500,100
peugeot-208,Peugeot,208,2022,14620,19780,17200,100
peugeot-208,Peugeot,208,2021,13175,17825,15500,100
peugeot-208,Peugeot,208,2020,11730,15870,13800,100
peugeot-208,Peugeot,208,2019,9775,13225,11500,100
peugeot-208,Peugeot,208,2018,8330,11270,9800,100
peugeot-208,Peugeot,208,2017,7225,9775,8500,100
peugeot-208,Peugeot,208,2016,6375,8625,7500,100
peugeot-208,Peugeot,208,2015,5525,7475,6500,100
peugeot-208,Peugeot,208,2014,4675,6325,5500,100
peugeot-208,Peugeot,208,2013,4080,5520,4800,100
peugeot-208,Peugeot,208,2012,3570,4830,4200,100
renault-clio,Renault,Clio,2026,23630,31970,27800,100
renault-clio,Renault,Clio,2025,21675,29325,25500,100
renault-clio,Renault,Clio,2024,19720,26680,23200,100
renault-clio,Renault,Clio,2023,17680,23920,20800,100
renault-clio,Renault,Clio,2022,15640,21160,18400,100
renault-clio,Renault,Clio,2021,13770,18630,16200,100
renault-clio,Renault,Clio,2020,12325,16675,14500,100
renault-clio,Renault,Clio,2019,10880,14720,12800,100
renault-clio,Renault,Clio,2018,9520,12880,11200,100
renault-clio,Renault,Clio,2017,8585,11615,10100,100
renault-clio,Renault,Clio,2016,7820,10580,9200,100
renault-clio,Renault,Clio,2015,7055,9545,8300,100
renault-clio,Renault,Clio,2014,6375,8625,7500,100
renault-clio,Renault,Clio,2013,5780,7820,6800,100
renault-clio,Renault,Clio,2012,5270,7130,6200,100
renault-clio,Renault,Clio,2011,4505,6095,5300,100
renault-clio,Renault,Clio,2010,4165,5635,4900,100
renault-clio,Renault,Clio,2009,3910,5290,4600,100
renault-clio,Renault,Clio,2008,3655,4945,4300,100
renault-clio,Renault,Clio,2007,3400,4600,4000,100
renault-clio,Renault,Clio,2006,3145,4255,3700,100
renault-clio,Renault,Clio,2005,2890,3910,3400,100
renault-clio,Renault,Clio,2004,2635,3565,3100,100
renault-clio,Renault,Clio,2003,2465,3335,2900,100
renault-clio,Renault,Clio,2002,2295,3105,2700,100
renault-clio,Renault,Clio,2001,2125,2875,2500,100
renault-clio,Renault,Clio,2000,1955,2645,2300,100
renault-clio,Renault,Clio,1999,1785,2415,2100,100
renault-clio,Renault,Clio,1998,1615,2185,1900,100
renault-clio,Renault,Clio,1997,1530,2070,1800,100
renault-clio,Renault,Clio,1996,1445,1955,1700,100
renault-clio,Renault,Clio,1995,1360,1840,1600,100
renault-clio,Renault,Clio,1994,1275,1725,1500,100
renault-clio,Renault,Clio,1993,1190,1610,1400,100
renault-clio,Renault,Clio,1992,1105,1495,1300,100
renault-clio,Renault,Clio,1991,1020,1380,1200,100
renault-clio,Renault,Clio,1990,935,1265,1100,100
dacia-sandero,Dacia,Sandero,2026,17170,23230,20200,100
