marque,modele,periode,moteur,distribution,puissance_ch,entretien_km,entretien_ans,brand_slug,model_slug
Alfa Romeo,147,147 1.6 2000-2010,1.6,COURROIE,105-150,60000 km,-,alfa-romeo,alfa-romeo-147
Alfa Romeo,147,147 1.8 2000-2010,1.8,COURROIE,105-150,-,4 ans,alfa-romeo,alfa-romeo-147
Alfa Romeo,147,147 2.0 Twin Spark 2000-2010,2.0 Twin Spark,COURROIE,105-150,-,4 ans,alfa-romeo,alfa-romeo-147
Alfa Romeo,147,147 3.2 V6 GTA (Busso) 2000-2010,3.2 V6 GTA (Busso),COURROIE,250,60000 km,4 ans,alfa-romeo,alfa-romeo-147
Alfa Romeo,147,147 1.9 JTD 2000-2010,1.9 JTD,COURROIE,100-150,120000-150000 km,-,alfa-romeo,alfa-romeo-147
Alfa Romeo,147,147 JTDm 2000-2010,JTDm,COURROIE,100-150,120000-150000 km,-,alfa-romeo,alfa-romeo-147
Alfa Romeo,156,156 1.6 1997-2007,1.6,COURROIE,105-150,60000 km,-,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 1.8 1997-2007,1.8,COURROIE,105-150,-,4 ans,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 2.0 Twin Spark 1997-2007,2.0 Twin Spark,COURROIE,105-150,-,4 ans,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 2.5 1997-2007,2.5,COURROIE,190-220,60000 km,-,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 3.0 V6 Busso 1997-2007,3.0 V6 Busso,COURROIE,190-220,-,4 ans,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 1.9 1997-2007,1.9,COURROIE,105-175,120000 km,-,alfa-romeo,alfa-romeo-156
Alfa Romeo,156,156 2.4 JTD 1997-2007,2.4 JTD,COURROIE,105-175,120000 km,-,alfa-romeo,alfa-romeo-156
Alfa Romeo,159,159 1.8 2005-2011,1.8,CHAÎNE,185,-,-,alfa-romeo,alfa-romeo-159
Alfa Romeo,159,159 2.2 JTS 2005-2011,2.2 JTS,CHAÎNE,185,-,-,alfa-romeo,alfa-romeo-159
Alfa Romeo,159,159 3.2 JTS V6 (Holden) 2005-2011,3.2 JTS V6 (Holden),CHAÎNE,260,-,-,alfa-romeo,alfa-romeo-159
Alfa Romeo,159,159 1.9 2005-2011,1.9,COURROIE,120-210,120000 km,-,alfa-romeo,alfa-romeo-159
Alfa Romeo,159,159 2.4 JTDm 2005-2011,2.4 JTDm,COURROIE,120-210,-,5 ans,alfa-romeo,alfa-romeo-159
Alfa Romeo,4C,4C 1.75 TBi 2013-2020,1.75 TBi,CHAÎNE,240,-,-,alfa-romeo,alfa-romeo-4c
Alfa Romeo,8C Competizione,8C Competizione 4.7 V8 Maserati 2007-2010,4.7 V8 Maserati,CHAÎNE,450,-,-,alfa-romeo,alfa-romeo-8c-competizione
Alfa Romeo,Brera / Spider,Brera / Spider 2.2 JTS 2005-2010,2.2 JTS,CHAÎNE,185,-,-,alfa-romeo,alfa-romeo-brera-spider
Alfa Romeo,Brera / Spider,Brera / Spider 3.2 JTS V6 (Holden) 2005-2010,3.2 JTS V6 (Holden),CHAÎNE,260,-,-,alfa-romeo,alfa-romeo-brera-spider
Alfa Romeo,Brera / Spider,Brera / Spider 2.4 JTDm 2005-2010,2.4 JTDm,COURROIE,200,120000 km,5 ans,alfa-romeo,alfa-romeo-brera-spider
Alfa Romeo,Giulia,Giulia 2.0 Turbo GME 2016-…,2.0 Turbo GME,CHAÎNE,200-280,-,-,alfa-romeo,alfa-romeo-giulia
